item,itemLabel,alias
http://www.wikidata.org/entity/Q6679418,Lord Ivar Mountbatten,Ivar Alexander Michael Mountbatten
http://www.wikidata.org/entity/Q6679418,Lord Ivar Mountbatten,Ivar Mountbatten
http://www.wikidata.org/entity/Q6679418,Lord Ivar Mountbatten,Lord Ivar Alexander Michael Mountbatten
http://www.wikidata.org/entity/Q6757730,"Marco Torlonia, 6th Prince of Civitella-Cesi","Marco Alfonso Torlonia, 6th Principe di Civitella-Cessi"
http://www.wikidata.org/entity/Q6759834,Margaret Rhodes,Margaret Elphinstone
http://www.wikidata.org/entity/Q6759834,Margaret Rhodes,Hon Margaret Elphinstone
http://www.wikidata.org/entity/Q6759834,Margaret Rhodes,Hon Margaret Rhodes
http://www.wikidata.org/entity/Q6759834,Margaret Rhodes,Hon. Margaret Elphinstone
http://www.wikidata.org/entity/Q6759834,Margaret Rhodes,Hon. Margaret Rhodes
http://www.wikidata.org/entity/Q6779476,"Mary Elphinstone, Lady Elphinstone",Lady Mary Bowes-Lyon
http://www.wikidata.org/entity/Q6779476,"Mary Elphinstone, Lady Elphinstone",Lady Mary Frances Bowes-Lyon
http://www.wikidata.org/entity/Q6779476,"Mary Elphinstone, Lady Elphinstone","Mary Frances Elphinstone, Lady Elphinstone"
http://www.wikidata.org/entity/Q7028910,"Nicodemus, Hereditary Prince of Löwenstein-Wertheim-Rosenberg",Nicodemus Prinz zu Löwenstein-Wertheim-Rosenberg
http://www.wikidata.org/entity/Q7243973,Eudes de Orléans e Bragança,Dom Eudes de Orléans-Bragança e Wittelsbach
http://www.wikidata.org/entity/Q7243973,Eudes de Orléans e Bragança,Eudes of Orleans-Braganza
http://www.wikidata.org/entity/Q7243987,Prince Friedrich Wilhelm of Lippe,Friedrich Wilhelm Ernst Victor Alexander Prinz zur Lippe
http://www.wikidata.org/entity/Q7243987,Prince Friedrich Wilhelm of Lippe,Friedrich Wilhelm of Lippe
http://www.wikidata.org/entity/Q7244117,Prince Karl Emich of Leiningen,Emperor Nicholas III
http://www.wikidata.org/entity/Q7244117,Prince Karl Emich of Leiningen,Karl-Emich Nikolaus Friedrich Hermann Erbprinz zu Leiningen
http://www.wikidata.org/entity/Q7244117,Prince Karl Emich of Leiningen,Nikolai Kirillovich Romanov
http://www.wikidata.org/entity/Q7244274,Prince Wilhelm Victor of Prussia,Wilhelm-Victor Prinz von Preußen
http://www.wikidata.org/entity/Q7244552,Princess Antonia of Prussia,Princess Antonia Elizabeth Brigid Luise of Prussia
http://www.wikidata.org/entity/Q7244552,Princess Antonia of Prussia,"Princess Antonia of Prussia, The Duchess of Wellington"
http://www.wikidata.org/entity/Q7244586,Princess Christine of Ligne,"Christine, Princess Imperial of Brazil"
http://www.wikidata.org/entity/Q7244586,Princess Christine of Ligne,Princess Christine of Orleans-Braganza
http://www.wikidata.org/entity/Q7244714,"Princess Maria Carolina, Duchess of Calabria",Maria Carolina di Borbone
http://www.wikidata.org/entity/Q7244714,"Princess Maria Carolina, Duchess of Calabria",HRH Princess Maria Carolina de Bourbon des Deux Siciles
http://www.wikidata.org/entity/Q7244714,"Princess Maria Carolina, Duchess of Calabria",Princess Maria Carolina Chantal Edoarda Beatrice Gennara of Bourbon Two Sicilies
http://www.wikidata.org/entity/Q7244714,"Princess Maria Carolina, Duchess of Calabria",Princess Maria Carolina of Bourbon Two Sicilies
http://www.wikidata.org/entity/Q7244714,"Princess Maria Carolina, Duchess of Calabria","Princess Maria Carolina of Bourbon Two Sicilies, The Duchess of Calabria"
http://www.wikidata.org/entity/Q7244714,"Princess Maria Carolina, Duchess of Calabria","Princess Maria Carolina of Bourbon Two Sicilies, The Duchess of Calabria, The Duchess of Palermo"
http://www.wikidata.org/entity/Q7244714,"Princess Maria Carolina, Duchess of Calabria","Princess Maria Carolina, Duchess of Calabria, Duchess of Palermo"
http://www.wikidata.org/entity/Q7244716,Princess Maria Cristina of Savoy-Aosta,Maria Cristina di Savoia-Aosta
http://www.wikidata.org/entity/Q7244716,Princess Maria Cristina of Savoy-Aosta,"Maria Cristina di Savoia-Aoste, Principessa di Savoia"
http://www.wikidata.org/entity/Q7244738,"Princess Marie, Princess Gundakar of Liechtenstein",Marie d'Orléans
http://www.wikidata.org/entity/Q7244738,"Princess Marie, Princess Gundakar of Liechtenstein",Princess Marie d'Orléans
http://www.wikidata.org/entity/Q7244738,"Princess Marie, Princess Gundakar of Liechtenstein",Princess Marie of Liechtenstein
http://www.wikidata.org/entity/Q7244738,"Princess Marie, Princess Gundakar of Liechtenstein",Marie Isabelle Marguerite Anne Geneviève d'Orléans
http://www.wikidata.org/entity/Q7244738,"Princess Marie, Princess Gundakar of Liechtenstein",Princess Gundakar of Liechtenstein
