person,personLabel,article
http://www.wikidata.org/entity/Q76927,Mary of Teck,https://en.wikipedia.org/wiki/Mary_of_Teck
http://www.wikidata.org/entity/Q69910,"Louis, Hereditary Prince of Mecklenburg-Schwerin","https://en.wikipedia.org/wiki/Louis,_Hereditary_Prince_of_Mecklenburg-Schwerin"
http://www.wikidata.org/entity/Q71440,Princess Amalia of Nassau-Dietz,https://en.wikipedia.org/wiki/Princess_Amalie_of_Nassau-Dietz
http://www.wikidata.org/entity/Q76961,Caroline of Ansbach,https://en.wikipedia.org/wiki/Caroline_of_Ansbach
http://www.wikidata.org/entity/Q76967,Princess Augusta of Saxe-Gotha,https://en.wikipedia.org/wiki/Princess_Augusta_of_Saxe-Gotha
http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh","https://en.wikipedia.org/wiki/Prince_Philip,_Duke_of_Edinburgh"
http://www.wikidata.org/entity/Q116062,Princess Alice of Battenberg,https://en.wikipedia.org/wiki/Princess_Alice_of_Battenberg
http://www.wikidata.org/entity/Q125872,"William Bentinck, 2nd Duke of Portland","https://en.wikipedia.org/wiki/William_Bentinck,_2nd_Duke_of_Portland"
http://www.wikidata.org/entity/Q126107,"Henry Bentinck, 1st Duke of Portland","https://en.wikipedia.org/wiki/Henry_Bentinck,_1st_Duke_of_Portland"
http://www.wikidata.org/entity/Q91755,Countess Katharina Dorothea Finck of Finckenstein,https://en.wikipedia.org/wiki/Countess_Katharina_Dorothea_Finck_von_Finckenstein
http://www.wikidata.org/entity/Q126219,"Margaret Cavendish Bentinck, Duchess of Portland","https://en.wikipedia.org/wiki/Margaret_Bentinck,_Duchess_of_Portland"
http://www.wikidata.org/entity/Q127318,George III of Great Britain,https://en.wikipedia.org/wiki/George_III
http://www.wikidata.org/entity/Q128341,Charles Cavendish-Bentinck,https://en.wikipedia.org/wiki/Charles_Cavendish-Bentinck
http://www.wikidata.org/entity/Q128343,Lord Charles Bentinck,https://en.wikipedia.org/wiki/Lord_Charles_Bentinck
http://www.wikidata.org/entity/Q130734,Nicholas I of Russia,https://en.wikipedia.org/wiki/Nicholas_I_of_Russia
http://www.wikidata.org/entity/Q131981,George II of Great Britain,https://en.wikipedia.org/wiki/George_II_of_Great_Britain
http://www.wikidata.org/entity/Q151305,Christian IX of Denmark,https://en.wikipedia.org/wiki/Christian_IX
http://www.wikidata.org/entity/Q151789,Peter III of Russia,https://en.wikipedia.org/wiki/Peter_III_of_Russia
http://www.wikidata.org/entity/Q152229,Friedrich Wilhelm II of Prussia,https://en.wikipedia.org/wiki/Frederick_William_II_of_Prussia
http://www.wikidata.org/entity/Q152245,Prince Albert of Saxe-Coburg and Gotha,https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha
http://www.wikidata.org/entity/Q152260,Alexandra of Denmark,https://en.wikipedia.org/wiki/Alexandra_of_Denmark
http://www.wikidata.org/entity/Q153319,Anna Petrovna of Russia,https://en.wikipedia.org/wiki/Grand_Duchess_Anna_Petrovna_of_Russia
http://www.wikidata.org/entity/Q154993,Christian VI of Denmark,https://en.wikipedia.org/wiki/Christian_VI
http://www.wikidata.org/entity/Q155178,Olga Constantinovna of Russia,https://en.wikipedia.org/wiki/Olga_Constantinovna_of_Russia
http://www.wikidata.org/entity/Q155566,Princess Alice of the United Kingdom,https://en.wikipedia.org/wiki/Princess_Alice_of_the_United_Kingdom
http://www.wikidata.org/entity/Q156187,Frederick V of Denmark,https://en.wikipedia.org/wiki/Frederick_V_of_Denmark
http://www.wikidata.org/entity/Q156531,Prince Andrew of Greece and Denmark,https://en.wikipedia.org/wiki/Prince_Andrew_of_Greece_and_Denmark
http://www.wikidata.org/entity/Q156723,Louise of Mecklenburg-Strelitz,https://en.wikipedia.org/wiki/Louise_of_Mecklenburg-Strelitz
http://www.wikidata.org/entity/Q157009,"Prince Edward, Duke of Kent and Strathearn","https://en.wikipedia.org/wiki/Prince_Edward,_Duke_of_Kent_and_Strathearn"
